date_found,category,level,city,organization,department,job_title,requirements,posted_date,deadline,application_route,source_url,source_type,evidence,suitability_reason,risks,key_hash,status
2026-06-09,今日新发现,A,北京,中国疾病预防控制中心,中国疾病预防控制中心,（A类或G类）； 5.全国外语水平考试(WSK)（PETS5）考试合格； 6.全国大学英语六级考试（CET-6）合格（或≥425分）； 7.全国高校英语专业四级（T,基础医学 / 公共卫生 / 预防医学,2025-11-27,,见来源链接,https://news.qq.com/rain/a/20251127A07D6200,company_or_other,中国疾病预防控制中心2026年普通招考博士生招生简章_腾讯新闻  中国疾病预防控制中心2026年普通招考博士生招生简章_腾讯新闻 中国疾病预防控制中心2026年普通招考博士生招生简章 北京日报客户端 2025-11-27 23:39 发布于 北京 北京日报客户端官方账号 问AI · 专业学位博士的工作经验要求如何提升实战能力？ 中国疾病预防控制中心（中国预防医学科学院）[以下简称中心（院）]是政府实施疾病预防控制与公共卫生技术管理和服务的公益性事业单位，现有2个学术学位一级学科博士学位授予点（公共卫生与预防医学、基础医学）、8个二级学科博士学位授予点，1个专业学位博士学位授予点（公共卫生）。 中心（院）2026年博士生招生实行申请考核制，计划招收全日制学术学位博士生87名、全日制专业学位博士生12名，详见中心（院）2026年普通招考学术学位博士生招生目录、专业学位博士生招生目录。本年度招生计划以上级计划部门正式下达的计划为准，分专业招生计划将根据考生报考情况适当调整。 现将2026年博士研究生招生的有关事宜作以下说明： 一、报考条件 （一）中华人民共和国公民。 （二）拥护中国共产党的领导，具有正确的政治方向，热爱祖国，愿意为社会主义现代化建设服务，愿意为公共卫生与疾病预防控制事业服务，遵纪守法，品行端正。 （三）已获硕士学位的人员，或应届硕士毕业生（最迟须在入学前取得硕士学位），或,基础医学 / 公共卫生 / 预防医学 / 高薪/管理/投研岗位类型 / 博士要求/博士通道 / 2026发布/招聘 / 有效期线索 / 校招/应届 / 官方/单位来源,命中硬排重基线,01a17ee4f7,excluded
2026-06-09,今日新发现,B,北京,中国疾病预防控制中心,中国疾病预防控制中心,中国疾病预防控制中心2026年普通招考博士生招生简章_腾讯新闻,基础医学 / 公共卫生 / 预防医学,2025-11-27,,见来源链接,https://news.qq.com/rain/a/20251127A07D6200,company_or_other,中国疾病预防控制中心2026年普通招考博士生招生简章_腾讯新闻 中国疾病预防控制中心2026年普通招考博士生招生简章 北京日报客户端 2025-11-27 23:39 发布于 北京 北京日报客户端官方账号 问AI · 专业学位博士的工作经验要求如何提升实战能力？ 中国疾病预防控制中心（中国预防医学科学院）[以下简称中心（院）]是政府实施疾病预防控制与公共卫生技术管理和服务的公益性事业单位，现有2个学术学位一级学科博士学位授予点（公共卫生与预防医学、基础医学）、8个二级学科博士学位授予点，1个专业学位博士学位授予点（公共卫生）。,基础医学 / 公共卫生 / 预防医学 / 博士要求/博士通道 / 2026发布/招聘 / 官方/单位来源,截止日期未抽取；命中硬排重基线,20abe6a9de,excluded
2026-06-09,今日新发现,A,,中国疾病预防控制中心,中国疾病预防控制中心,（A类或G类）； 5.全国外语水平考试(WSK)（PETS5）考试合格； 6.全国大学英语六级考试（CET-6）合格（或≥425分）； 7.全国高校英语专业四级（T,基础医学 / 公共卫生 / 预防医学,2025-11-27,,见来源链接,https://xinwen.bjd.com.cn/content/s69286f93e4b02424b0c39a75.html,company_or_other,中国疾病预防控制中心2026年普通招考博士生招生简章  中国疾病预防控制中心2026年普通招考博士生招生简章 --> --> --> --> --> 中国疾病预防控制中心2026年普通招考博士生招生简章 --> 中国疾控中心 原创 --> --> 2025-11-27 23:34 中国疾病预防控制中心（中国预防医学科学院）[以下简称中心（院）]是政府实施疾病预防控制与公共卫生技术管理和服务的公益性事业单位，现有2个学术学位一级学科博士学位授予点（公共卫生与预防医学、基础医学）、8个二级学科博士学位授予点，1个专业学位博士学位授予点（公共卫生）。 中心（院）2026年博士生招生实行申请考核制，计划招收全日制学术学位博士生87名、全日制专业学位博士生12名，详见中心（院）2026年普通招考学术学位博士生招生目录、专业学位博士生招生目录。本年度招生计划以上级计划部门正式下达的计划为准，分专业招生计划将根据考生报考情况适当调整。 现将2026年博士研究生招生的有关事宜作以下说明： 一、报考条件 （一）中华人民共和国公民。 （二）拥护中国共产党的领导，具有正确的政治方向，热爱祖国，愿意为社会主义现代化建设服务，愿意为公共卫生与疾病预防控制事业服务，遵纪守法，品行端正。 （三）已获硕士学位的人员，或应届硕士毕业生（最迟须在入学前取得硕士学位），或同等学力人员。 （四）身体和心理健康状况符合国家,基础医学 / 公共卫生 / 预防医学 / 高薪/管理/投研岗位类型 / 博士要求/博士通道 / 2026发布/招聘 / 有效期线索 / 校招/应届 / 官方/单位来源,命中硬排重基线,594963bce5,excluded
2026-06-09,今日新发现,B,,中国疾病预防控制中心,中国疾病预防控制中心,中国疾病预防控制中心2026年普通招考博士生招生简章,基础医学 / 公共卫生 / 预防医学,2025-11-27,,见来源链接,https://xinwen.bjd.com.cn/content/s69286f93e4b02424b0c39a75.html,company_or_other,中国疾病预防控制中心2026年普通招考博士生招生简章 --> --> --> --> --> 中国疾病预防控制中心2026年普通招考博士生招生简章 --> 中国疾控中心 原创 --> --> 2025-11-27 23:34 中国疾病预防控制中心（中国预防医学科学院）[以下简称中心（院）]是政府实施疾病预防控制与公共卫生技术管理和服务的公益性事业单位，现有2个学术学位一级学科博士学位授予点（公共卫生与预防医学、基础医学）、8个二级学科博士学位授予点，1个专业学位博士学位授予点（公共卫生）。,基础医学 / 公共卫生 / 预防医学 / 博士要求/博士通道 / 2026发布/招聘 / 官方/单位来源,截止日期未抽取；命中硬排重基线,4b43816345,excluded
2026-06-09,今日新发现,B,北京,开展2026年医疗,国家卫生健康委人才交流服务中心,. 06-08 更多+ 招聘信息 更多+ 医疗机构高层次人才需求信息发布入口 06-05 欢迎加入“杏林菁英”卫生健康高层次人才库 04-15 医疗卫生机构人才服务包来了,待核验,2026年4月30,,邮箱投递（需在公告中核验）,https://www.21wecan.com,company_or_other,国家卫生健康委人才交流服务中心  国家卫生健康委人才交流服务中心 您的浏览器版本过低，请升级浏览器获得更好的体验 中文 / EN --> 邮箱 中文 / EN 首 页 中心概况 中心简介 中心领导 组织架构 新闻资讯 通知公告 最新要闻 考试评价 全国卫生专业技术资格考试 护士执业资格考试 高级卫生专业技术资格考试 住院医师规范化培训考核 招聘及其他类型考试 技能人才评价 国家卫生健康委直属和联系单位专业技术资格评审 国家卫生健康突出贡献中青年专家选拔 国家卫生健康委涉外专业技术人员资格认定 教育培训 人事代理 人事档案 社会保障 求职招聘 --> 求职招聘 委直属和联系单位招聘 各省委托招聘 其他招聘 线上招聘 国际合作 --> 人才研究 人才开发 人才杂志 党建工作 温馨提示：本网站相关系统将于8月30日8:00—20:00暂停提供服务，给您带来的不便敬请谅解。 --> 温馨提示：本网站相关系统开放时间为工作日 8:30--17:00，给您带来的不便敬请谅解。 --> 温馨提示：本网站相关系统将于2026年4月30日17：00-5月6日8：30期间暂停提供服务，给您带来的不便敬请谅解。 --> 学习贯彻党的二十届四中全会精神 新时代党的卫生与健康工作方针 卫生健康人才职业技能培养项目项目工作组联席会议召开 通知公告 | 最新要闻 关于开展2026年医疗护理员培训合作工作的通知,目标岗位类型 / 2026发布/招聘 / 有效期线索 / 校招/应届 / 薪资/待遇潜力 / 官方/单位来源,,7e87cdc347,pending
2026-06-09,今日新发现,B,北京,2026年康复大学青岛中心医院,国家卫生健康委人才交流服务中心,. 06-08 更多+ 招聘信息 更多+ 医疗机构高层次人才需求信息发布入口 06-05 欢迎加入“杏林菁英”卫生健康高层次人才库 04-15 医疗卫生机构人才服务包来了,医药,,,见来源链接,https://www.21wecan.com,company_or_other,中华人民共和国社会保险法 06-08 国务院办公厅关于印发机关事业单位职业年金办法... 06-08 北京市企业职工生育保险规定 06-08 国务院关于机关事业单位工作人员养老保险制度改... 06-08 更多+ 招聘信息 更多+ 医疗机构高层次人才需求信息发布入口 06-05 欢迎加入“杏林菁英”卫生健康高层次人才库 04-15 医疗卫生机构人才服务包来了！赋能卫生健康人才... 04-27 第29届全国卫生健康人才招聘会（春季）暨校园硕... 04-24 2026年康复大学青岛中心医院博士岗位需求公告 04-14 国家卫生健康委妇幼健康中心2026年公开招聘工作... 03-05 天津中医药大学第一附属医院2026年博士后研究人... 03-05 辽宁省朝阳市中心医院招聘启事 03-05 委直属和联系单位招聘 各省委托招聘 其他招聘 招聘会 高层次人才 卫,医药 / 目标岗位类型 / 博士要求/博士通道 / 2026发布/招聘 / 薪资/待遇潜力 / 官方/单位来源 / 含博士后需区分,博士后或疑似博士后,4bb83a83a7,excluded
2026-06-09,今日新发现,B,天津,天津中医药大学第一附属医院,国家卫生健康委人才交流服务中心,属和联系单位招聘 各省委托招聘 其他招聘 招聘会 高层次人才 卫人就业网 --> --> --> --> --> 更多+ 世界卫生组织人力资源合作中心 中国-东盟高级卫生,医药 / 医疗健康,,,见来源链接,https://www.21wecan.com,company_or_other,-14 国家卫生健康委妇幼健康中心2026年公开招聘工作... 03-05 天津中医药大学第一附属医院2026年博士后研究人... 03-05 辽宁省朝阳市中心医院招聘启事 03-05 委直属和联系单位招聘 各省委托招聘 其他招聘 招聘会 高层次人才 卫人就业网 --> --> --> --> --> 更多+ 世界卫生组织人力资源合作中心 中国-东盟高级卫生行政人员公共 卫生培训 全球卫生能力建设项目 --> 人才研究 更多+ 关于开展公立医院人力资源管理研究项目课题申报... 07-25 营养人才课题组赴浙江调研 06-07 《医务人员准入和晋升研究》课题组赴浙江省调研 08-31 《“互联网+医疗健康”人才培养策略研究》课题组... 08-17 关于我们 | 联系方式 网站主办：国家卫生健康委人才交流服务中心 京ICP备 14010889 号 京公网安备,医药 / 医疗健康 / 目标岗位类型 / 博士要求/博士通道 / 2026发布/招聘 / 薪资/待遇潜力 / 官方/单位来源 / 含博士后需区分,博士后或疑似博士后,e58a0c4d2b,excluded
2026-06-09,今日新发现,B,北京,丁香园旗下专业医疗,丁香园旗下专业医疗行业招聘平台,国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 招聘公告 | 丁香人才网_丁香园旗下专业医疗行业招聘平台_丁香园生物医药科技网,医药,2026年7月31,2026年7月31日,见来源链接,https://www.jobmd.cn/jobnotice/75792,company_or_other,国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 招聘公告 | 丁香人才网_丁香园旗下专业医疗行业招聘平台_丁香园生物医药科技网  国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 招聘公告 | 丁香人才网_丁香园旗下专业医疗行业招聘平台_丁香园生物医药科技网 首页 职位 · 单位 校招 猎头 双选会 名院直播 热招地区 浙江 北京 上海 广东 山东 江苏 江西 福建 安徽 天津 河北 山西 四川 重庆 广西 海南 河南 湖南 湖北 辽宁 吉林 贵州 云南 宁夏 青海 陕西 甘肃 新疆 西藏 黑龙江 内蒙古 更多 职场 论坛 查医院 搜职位 搜职位 搜单位 搜索 校招 招聘公告 公告详情 国家卫生健康委直属和联系单位2026年度公开招聘人员公告 发布单位 国家卫生健康委员会 工作地点 北京 按照公开招聘工作有关规定和要求，根据工作需要，国家卫生健康委14家直属和联系单位2026年度拟公开招聘部分工作人员。具体岗位及资格条件等详见《国家卫生健康委直属和联系单位2026年度公开招聘岗位信息表》(附件，以下简称《岗位信息表》)。现将有关事项公告如下: 一、招聘对象及报名条件 (一) 招聘对象 1.国内高校应届毕业生：2026年国内高校应届毕业生(不含各类委培生、定向生，含两年择业期内未落实工作单位的高校毕业生)，2026年7月31日前取得毕业证、学位证。京外生源须,医药 / 博士要求/博士通道 / 2026发布/招聘 / 有效期线索 / 校招/应届 / 官方/单位来源 / 含博士后需区分,有效期需人工复核；页面含博士后，需区分岗位；命中硬排重基线,ef0bf10465,excluded
2026-06-09,今日新发现,B,北京,吉林大学,普通高等学校本科,国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 吉林大学就业网,生信,2026年7月31,2026年7月31日,见来源链接,https://jdjyw.jlu.edu.cn/portal/recruit/details?id=6082f08a53a24174a0c5ece85d287c26,university_hr_official,国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 吉林大学就业网  国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 吉林大学就业网 首页 组织机构 部门职能 领导分工 科室及工作人员职责 求职招聘 校园招聘 招聘快讯 实习实践 笔面试通知 就业指导 就业指导活动 就业创业政策 就业创业网络学堂 基层项目 就业服务 工作流程 办公指南 报到政策 常见问题 毕业生信息 专业介绍 生源信息 国际组织 资料下载 搜索 用人单位登录 二维码 扫描关注吉大就业 您的当前位置： 首页 > 求职招聘 > 招聘快讯 > 招聘详情 国家卫生健康委直属和联系单位2026年度公开招聘人员公告 发布时间：2025-11-21 10:46:55 点击量： 招聘计划: 学历要求 本科生 招聘总人数 55 研究生人数 0 本科生人数 55 招聘内容: 按照公开招聘工作有关规定和要求，根据工作需要，国家卫生健康委14家直属和联系单位2026年度拟公开招聘部分工作人员。具体岗位及资格条件等详见《国家卫生健康委直属和联系单位2026年度公开招聘岗位信息表》（附件，以下简称《岗位信息表》）。现将有关事项公告如下： 一、招聘对象及报名条件 （一）招聘对象 1.国内高校应届毕业生：2026年国内高校应届毕业生（不含各类委培生、定向生，含两年择业期内未落实工作单位的高校毕业生），2026年7月31日前,生信 / 博士要求/博士通道 / 2026发布/招聘 / 有效期线索 / 校招/应届 / 官方/单位来源 / 含博士后需区分 / 低端岗位风险,命中历史已投/已搜索单位,a8c4c895a1,excluded
2026-06-09,今日新发现,B,,吉林大学,国家食品安全风险评估中心,国家卫生健康委直属和联系单位2026年度公开招聘人员公告 - 吉林大学就业网,公共卫生 / 预防医学 / 生物学 / 医药,,,见来源链接,https://jdjyw.jlu.edu.cn/portal/recruit/details?id=6082f08a53a24174a0c5ece85d287c26,university_hr_official,3 | 国家食品安全风险评估中心 | 风险监测部 | 专业技术岗1 | 92160101 | 专业技术岗 | 十级及以下 | 国内高校应届生 | 1 | 公共卫生与预防医学类（1004），化学类（0703），生物学类（0710），食品科学与工程类（0832），生物与医药类（0860） | 博士研究生 | 京外户口，符合进京落户条件 | 具有未来食品、合成生物等交叉领域所需的生物科学、生物技术、食品科学、化学等方向研究背景者，同等条件下优先。 |,公共卫生 / 预防医学 / 生物学 / 医药 / 博士要求/博士通道 / 2026发布/招聘 / 校招/应届 / 官方/单位来源,命中历史已投/已搜索单位；命中硬排重基线,888460f15c,excluded
